i,j,prediction
0,0,0.05250348739488451
0,1,0.029308863430544046
0,2,0.01055917572736382
0,3,8.595682470986265e-08
0,4,1.3882954755522245e-06
0,5,0.004995357300658432
0,6,0.13595231842728836
0,7,0.03781771081494019
0,8,0.017082913196214577
0,9,1.674978517020039e-05
0,10,0.005444904069637727
0,11,2.6065025743569662e-05
0,12,7.437559265179595e-13
0,13,0.0029009183538000996
0,14,0.002470869639121905
0,15,0.004798796944581006
0,16,0.025820812320390737
0,17,0.003179603221138921
0,18,0.013230938162600526
0,19,2.387336986918624e-09
0,20,0.000258648585444803
0,21,0.012072694377276068
0,22,1.1480263704111446e-22
0,23,1.9277471313888282e-10
0,24,3.842965110301101e-05
0,25,4.956842751589507e-07
0,26,9.570655965448394e-22
0,27,0.0269688915306058
0,28,4.3728252478751355e-06
0,29,9.842468887134934e-07
0,30,0.02634565170899018
0,31,0.0003033431690304646
0,32,0.007167576515404643
0,33,0.054503743148366035
0,34,0.001689579109261516
0,35,0.0007269428073099121
0,36,1.71426863175936e-12
0,37,1.0994511997849347e-08
0,38,0.0003866961736953926
0,39,0.03359208328764643
1,0,0.02514627018502115
1,1,0.005152733789174336
1,2,0.0072213298412502035
1,3,0.011253103466069028
1,4,3.944276248777339e-05
1,5,0.06639452629948372
1,6,0.22834040314917023
1,7,0.0021268407009376543
1,8,0.0016355503878911438
1,9,6.820323486946286e-08
1,10,0.02983456246850068
1,11,7.957598795331022e-05
1,12,0.0035631832526733425
1,13,0.008395486932181633
1,14,0.03451481942283565
1,15,0.01362941716268306
1,16,3.877190494980316e-07
1,17,0.0001820180370506881
1,18,3.374715724665909e-10
1,19,1.9547703569034319e-16
1,20,1.5050027563603156e-07
1,21,0.0036992887611594933
1,22,4.34489372414356e-05
1,23,5.1773581849160416e-11
1,24,0.009505543379308283
1,25,0.031361776503467546
1,26,0.004430050644512068
1,27,9.21218524728659e-14
1,28,0.02672184391574956
1,29,0.002581647598843213
1,30,0.016589168199314382
1,31,0.0016302721498855396
1,32,0.0417156187645159
1,33,0.058308270568822686
1,34,5.999985725868214e-05
1,35,1.4077892124366086e-05
1,36,0.0001402160046152523
1,37,0.002098048767304957
1,38,1.6602590751631425e-05
1,39,0.008775172227297809
2,0,0.004205231333325415
2,1,0.04833500261953631
2,2,0.001938571489027162
2,3,0.01271607238200454
2,4,0.021382507066854628
2,5,0.06410604056057763
2,6,0.11579912878244791
2,7,0.03178355339588597
2,8,0.02141926162563386
2,9,0.0014554770349328313
2,10,0.0001266508702442229
2,11,0.00022370771505869757
2,12,0.0008843522536514615
2,13,0.01407208194311707
2,14,0.007380873633387247
2,15,0.03099188383384824
2,16,0.0033062778639102045
2,17,0.0005060758820289509
2,18,0.007129498870906934
2,19,0.05123307948113045
2,20,1.51774499746883e-37
2,21,0.005952155262875467
2,22,1.683084552615983e-13
2,23,0.00019275230399620646
2,24,0.00019254203059138828
2,25,0.0020887002067336577
2,26,0.00024394912135158476
2,27,8.479198606392344e-07
2,28,0.008773564097031106
2,29,0.004948982677630244
2,30,0.010115709773196981
2,31,5.630057917538938e-09
2,32,0.002888322491829558
2,33,0.03077206951927195
2,34,0.055420394531077055
2,35,1.6076673787387408e-10
2,36,2.2108893975527728e-07
2,37,8.77541218026535e-08
2,38,9.747336601987653e-10
2,39,0.04229936227909521
3,0,0.00032530338894273575
3,1,0.1022019413655298
3,2,1.3642894609746413e-05
3,3,0.02841947308014435
3,4,3.676225373250414e-14
3,5,0.01600926752766476
3,6,0.2137170658240067
3,7,0.02702800550656555
3,8,0.00017930573572847306
3,9,1.3653143559925195e-05
3,10,5.951533084648418e-07
3,11,0.00018873676892747316
3,12,0.006626656800286061
3,13,9.914546809512874e-05
3,14,0.0076509541634791544
3,15,0.0005724179056020781
3,16,0.004706855154534849
3,17,2.690733403375885e-05
3,18,0.0026225023878475675
3,19,2.806216680503426e-07
3,20,9.946155946941859e-25
3,21,0.00042111792639262655
3,22,9.965622768038975e-06
3,23,5.519042239709484e-07
3,24,0.012484736680780846
3,25,2.6190415534582066e-08
3,26,0.0001224123211118818
3,27,2.0442506457449832e-33
3,28,0.09153102883935621
3,29,0.008253595585055567
3,30,0.14286809738798353
3,31,6.500990880706455e-15
3,32,0.07493919925885119
3,33,0.006921390566671425
3,34,0.001620786412568624
3,35,0.039995774121744494
3,36,3.896240372800055e-06
3,37,4.298478287324747e-08
3,38,1.3154431665445989e-05
3,39,0.024589947751279668
4,0,0.0017738379628187268
4,1,0.013055965634781862
4,2,0.023319572382274834
4,3,0.012206573121082942
4,4,0.004798050044259049
4,5,0.02395533304900406
4,6,0.27675933852254564
4,7,0.05413556032224491
4,8,0.0002353714958552409
4,9,0.0035114105207482557
4,10,0.014598353618547244
